Dates,Open Price,High Price,Low Price,Close Price
02-01-1980,105.76,105.76,105.76,105.76
03-01-1980,105.22,105.22,105.22,105.22
04-01-1980,106.52,106.52,106.52,106.52
07-01-1980,106.81,106.81,106.81,106.81
08-01-1980,108.95,108.95,108.95,108.95
09-01-1980,109.05,109.05,109.05,109.05
10-01-1980,109.89,109.89,109.89,109.89
11-01-1980,109.92,109.92,109.92,109.92
14-01-1980,110.38,110.38,110.38,110.38
15-01-1980,111.14,111.14,111.14,111.14
16-01-1980,111.05,111.05,111.05,111.05
17-01-1980,110.7,110.7,110.7,110.7
18-01-1980,111.07,111.07,111.07,111.07
21-01-1980,112.1,112.1,112.1,112.1
22-01-1980,111.51,111.51,111.51,111.51
23-01-1980,113.44,113.44,113.44,113.44
24-01-1980,113.7,113.7,113.7,113.7
25-01-1980,113.61,113.61,113.61,113.61
28-01-1980,114.85,114.85,114.85,114.85
29-01-1980,114.07,114.07,114.07,114.07
30-01-1980,115.2,115.2,115.2,115.2
31-01-1980,114.16,114.16,114.16,114.16
01-02-1980,115.12,115.12,115.12,115.12
04-02-1980,114.37,114.37,114.37,114.37
05-02-1980,114.66,114.66,114.66,114.66
06-02-1980,115.72,115.72,115.72,115.72
07-02-1980,116.28,116.28,116.28,116.28
08-02-1980,117.95,117.95,117.95,117.95
11-02-1980,117.12,117.12,117.12,117.12
12-02-1980,117.9,117.9,117.9,117.9
13-02-1980,118.44,118.44,118.44,118.44
14-02-1980,116.72,116.72,116.72,116.72
15-02-1980,115.41,115.41,115.41,115.41
19-02-1980,114.6,114.6,114.6,114.6
20-02-1980,116.47,116.47,116.47,116.47
21-02-1980,115.28,115.28,115.28,115.28
22-02-1980,115.04,115.04,115.04,115.04
25-02-1980,113.33,113.33,113.33,113.33
26-02-1980,113.98,113.98,113.98,113.98
27-02-1980,112.38,112.38,112.38,112.38
28-02-1980,112.35,112.35,112.35,112.35
29-02-1980,113.66,113.66,113.66,113.66
03-03-1980,112.5,112.5,112.5,112.5
04-03-1980,112.78,112.78,112.78,112.78
05-03-1980,111.13,111.13,111.13,111.13
06-03-1980,108.65,108.65,108.65,108.65
07-03-1980,106.9,106.9,106.9,106.9
10-03-1980,106.51,106.51,106.51,106.51
11-03-1980,107.78,107.78,107.78,107.78
12-03-1980,106.87,106.87,106.87,106.87
13-03-1980,105.62,105.62,105.62,105.62
14-03-1980,105.43,105.43,105.43,105.43
17-03-1980,102.26,102.26,102.26,102.26
18-03-1980,104.1,104.1,104.1,104.1
19-03-1980,104.31,104.31,104.31,104.31
20-03-1980,103.12,103.12,103.12,103.12
21-03-1980,102.31,102.31,102.31,102.31
24-03-1980,99.28,99.28,99.28,99.28
25-03-1980,99.19,99.19,99.19,99.19
26-03-1980,98.68,98.68,98.68,98.68
27-03-1980,98.22,98.22,98.22,98.22
28-03-1980,100.68,100.68,100.68,100.68
31-03-1980,102.09,102.09,102.09,102.09
01-04-1980,102.18,102.18,102.18,102.18
02-04-1980,102.68,102.68,102.68,102.68
03-04-1980,102.15,102.15,102.15,102.15
07-04-1980,100.19,100.19,100.19,100.19
08-04-1980,101.2,101.2,101.2,101.2
09-04-1980,103.11,103.11,103.11,103.11
10-04-1980,104.08,104.08,104.08,104.08
11-04-1980,103.79,103.79,103.79,103.79
14-04-1980,102.84,102.84,102.84,102.84
15-04-1980,102.63,102.63,102.63,102.63
16-04-1980,101.54,101.54,101.54,101.54
17-04-1980,101.05,101.05,101.05,101.05
18-04-1980,100.55,100.55,100.55,100.55
21-04-1980,99.8,99.8,99.8,99.8
22-04-1980,103.43,103.43,103.43,103.43
23-04-1980,103.73,103.73,103.73,103.73
24-04-1980,104.4,104.4,104.4,104.4
25-04-1980,105.16,105.16,105.16,105.16
28-04-1980,105.64,105.64,105.64,105.64
29-04-1980,105.86,105.86,105.86,105.86
30-04-1980,106.29,106.29,106.29,106.29
01-05-1980,105.46,105.46,105.46,105.46
02-05-1980,105.58,105.58,105.58,105.58
05-05-1980,106.38,106.38,106.38,106.38
06-05-1980,106.25,106.25,106.25,106.25
07-05-1980,107.18,107.18,107.18,107.18
08-05-1980,106.13,106.13,106.13,106.13
09-05-1980,104.72,104.72,104.72,104.72
12-05-1980,104.78,104.78,104.78,104.78
13-05-1980,106.3,106.3,106.3,106.3
14-05-1980,106.85,106.85,106.85,106.85
15-05-1980,106.99,106.99,106.99,106.99
16-05-1980,107.35,107.35,107.35,107.35
19-05-1980,107.67,107.67,107.67,107.67
20-05-1980,107.62,107.62,107.62,107.62
21-05-1980,107.72,107.72,107.72,107.72
22-05-1980,109.01,109.01,109.01,109.01
23-05-1980,110.62,110.62,110.62,110.62
27-05-1980,111.4,111.4,111.4,111.4
28-05-1980,112.06,112.06,112.06,112.06
29-05-1980,110.27,110.27,110.27,110.27
30-05-1980,111.24,111.24,111.24,111.24
02-06-1980,110.76,110.76,110.76,110.76
03-06-1980,110.51,110.51,110.51,110.51
04-06-1980,112.61,112.61,112.61,112.61
05-06-1980,112.78,112.78,112.78,112.78
06-06-1980,113.2,113.2,113.2,113.2
09-06-1980,113.71,113.71,113.71,113.71
10-06-1980,114.66,114.66,114.66,114.66
11-06-1980,116.02,116.02,116.02,116.02
12-06-1980,115.52,115.52,115.52,115.52
13-06-1980,115.81,115.81,115.81,115.81
16-06-1980,116.09,116.09,116.09,116.09
17-06-1980,116.03,116.03,116.03,116.03
18-06-1980,116.26,116.26,116.26,116.26
19-06-1980,114.66,114.66,114.66,114.66
20-06-1980,114.06,114.06,114.06,114.06
23-06-1980,114.51,114.51,114.51,114.51
24-06-1980,115.14,115.14,115.14,115.14
25-06-1980,116.72,116.72,116.72,116.72
26-06-1980,116.19,116.19,116.19,116.19
27-06-1980,116,116,116,116
30-06-1980,114.24,114.24,114.24,114.24
01-07-1980,114.93,114.93,114.93,114.93
02-07-1980,115.68,115.68,115.68,115.68
03-07-1980,117.46,117.46,117.46,117.46
07-07-1980,118.29,118.29,118.29,118.29
08-07-1980,117.84,117.84,117.84,117.84
09-07-1980,117.98,117.98,117.98,117.98
10-07-1980,116.95,116.95,116.95,116.95
11-07-1980,117.84,117.84,117.84,117.84
14-07-1980,120.01,120.01,120.01,120.01
15-07-1980,119.3,119.3,119.3,119.3
16-07-1980,119.63,119.63,119.63,119.63
17-07-1980,121.44,121.44,121.44,121.44
18-07-1980,122.04,122.04,122.04,122.04
21-07-1980,122.51,122.51,122.51,122.51
22-07-1980,122.19,122.19,122.19,122.19
23-07-1980,121.93,121.93,121.93,121.93
24-07-1980,121.79,121.79,121.79,121.79
25-07-1980,120.78,120.78,120.78,120.78
28-07-1980,121.43,121.43,121.43,121.43
29-07-1980,122.4,122.4,122.4,122.4
30-07-1980,122.23,122.23,122.23,122.23
31-07-1980,121.67,121.67,121.67,121.67
01-08-1980,121.21,121.21,121.21,121.21
04-08-1980,120.98,120.98,120.98,120.98
05-08-1980,120.74,120.74,120.74,120.74
06-08-1980,121.55,121.55,121.55,121.55
07-08-1980,123.3,123.3,123.3,123.3
08-08-1980,123.61,123.61,123.61,123.61
11-08-1980,124.78,124.78,124.78,124.78
12-08-1980,123.79,123.79,123.79,123.79
13-08-1980,123.28,123.28,123.28,123.28
14-08-1980,125.25,125.25,125.25,125.25
15-08-1980,125.72,125.72,125.72,125.72
18-08-1980,123.39,123.39,123.39,123.39
19-08-1980,122.6,122.6,122.6,122.6
